competencia;id_cliente;valor_fatura;tipo_cliente;consumo_energia_kwh;status_fatura;data_vencimento
2021-08;b6KQrhMi1sJoM3RSLqPLCw==;82,93;PF;101;paga;11/09/2021
2021-07;m6setGOl8+0O557JhpaLkQ==;84,57;PF;103;paga;18/08/2021
2021-07;VvbDG4ofu0IRb3c1xTpaww==;85,39;PF;104;paga;14/08/2021
2021-07;XtH/YeoPsdw5VVyvYoMqHA==;85,39;PF;104;paga;05/08/2021
2021-07;UsHK7PgOieW38yp1JepzOQ==;85,39;PF;104;paga;13/08/2021
2021-07;EzIWP8YLRZ0lkZK5uxaZYA==;85,39;PF;104;paga;06/08/2021
2021-07;VKD8G5NshQroaIPHqFe9kA==;85,39;PF;104;paga;02/08/2021
2021-07;COYG7vGPidIY9syR8J5atg==;85,39;PF;104;paga;11/09/2021
2021-07;mGk7wCFMz0DBspZoRQ4UYg==;85,39;PF;104;paga;06/08/2021
2021-07;hHU9zMo7tuHcFPFqpwttjw==;85,39;PF;104;paga;03/08/2021
2021-07;b77jb6PdEw/AuGtn0xMCGw==;85,39;PF;104;paga;11/08/2021
2021-07;vpOmlK02ZEl1somitY9o/g==;85,39;PF;104;atrasada;04/08/2021
2021-07;acoT2u5mHURKRxUAxI7mow==;85,39;PF;104;atrasada;27/08/2021
2021-07;Q11uqc9PCFAjT4Yrh6Ah0Q==;85,39;PF;104;paga;14/08/2021
2021-07;jzGdiIC6wSH+q0XL6pALzw==;85,39;PF;104;paga;22/08/2021
2021-07;cnSJ9E2i1guqHe8XH5/Ksg==;85,39;PF;104;atrasada;17/08/2021
2021-07;3Q1MDRbEREGqzPqvoQVTPg==;85,39;PF;104;atrasada;27/07/2021
2021-07;rWh2s/k2UHNy/7BuGcyMsQ==;85,39;PF;104;paga;14/08/2021
2021-07;fYYTG/SyndyshnC+82lKzw==;85,39;PF;104;paga;18/08/2021
2021-07;0huwKrYwGsmRNdMXQAE2jQ==;85,39;PF;104;atrasada;09/08/2021
2021-07;YoAWAndesF68Ftz1poolOQ==;85,39;PF;104;paga;17/08/2021
2021-07;T75RwUdKAiSS9m9WAP4HYA==;85,39;PF;104;paga;06/08/2021
2021-08;+/wBRkQ5NaXnKzihMl4GGw==;85,39;PF;104;paga;10/09/2021
2021-08;LKJkrZB+HBr9Ckv3M05Q6Q==;86,22;PF;105;atrasada;11/09/2021
2021-08;e0WtH0FnTQiry0DBkO5paA==;87,86;PF;107;atrasada;17/09/2021
2021-08;xeqzDrCg4ctQQdgifzziNg==;87,86;PF;107;atrasada;09/09/2021
2021-08;XlNaMk0g5BEiFxUg8T2ohg==;87,86;PF;107;atrasada;11/09/2021
2021-08;c8QpIPXhFuxPFn9N+6hPEg==;89,5;PF;109;atrasada;27/08/2021
2021-08;6vnCvePRpfWKJ80ijhqECA==;89,5;PF;109;paga;03/09/2021
2021-08;sysl53dhmaAetcF5DCaPWA==;89,5;PF;109;paga;02/09/2021
2021-08;lOPGVTdPsJfkdTa6t07tww==;91,96;PF;112;paga;17/09/2021
2021-07;rB4WT5NPzbG/cUDP/gLB5w==;93,61;PF;114;paga;27/07/2021
2021-08;aoPlic01PUNA8TdBCr2dpQ==;93,61;PF;114;atrasada;04/09/2021
2021-08;7AOYm14uUZRjaDwMQZazww==;94,43;PF;115;paga;01/09/2021
2021-07;hSm0uJRnbkP88is8Zu8tdw==;95,25;PF;116;paga;27/07/2021
2021-08;6hPumClQCNlUSLzgYGyRyA==;96,89;PF;118;paga;05/09/2021
2021-07;HeZIp8A0HcKUqfmU/K/vOA==;97,71;PF;119;paga;05/08/2021
2021-08;HvbUwmlCLgKObI1VQJwpvQ==;97,71;PF;119;atrasada;11/09/2021
2021-07;S6/FOPfxJpaXCs99NSZyTg==;98,53;PF;120;paga;18/08/2021
2021-07;wfiC/QpN6dv/l22TrAh89Q==;98,53;PF;120;paga;18/08/2021
2021-08;cZoraBtJghaD0AupQ8jLYA==;98,53;PF;120;paga;17/09/2021
2021-08;1GZjSYwr02ilzEtWvoXYCA==;98,53;PF;120;paga;05/09/2021
2021-06;rB4WT5NPzbG/cUDP/gLB5w==;101;PF;123;paga;07/07/2021
2021-08;syQX+i/A2OHd46EmQlmVdw==;101;PF;123;atrasada;01/09/2021
2021-08;tZFeNYg6+OjGF1VbtSo/qQ==;102,64;PF;125;paga;17/09/2021
2021-08;dEdCFYRoQQdIJtc/O3pTUA==;102,64;PF;125;paga;06/09/2021
2021-08;WMwY4TftNcrTHCD/FhLBeQ==;104,28;PF;127;paga;27/08/2021
2021-08;M3bTLXsc3KJtbJjBeaGfhA==;104,28;PF;127;paga;11/09/2021
2021-07;Pg3I1Vs6l0MAYB4Msm/UAg==;105,92;PF;129;atrasada;27/07/2021
2021-08;jexVhcKhoYahs/QIlgSABg==;105,92;PF;129;paga;11/09/2021
2021-08;uPRnbcZeMKgxgQCHFHx1Gw==;107,56;PF;131;paga;11/09/2021
2021-08;/lFJ2pY/W9mnIG0k1OtgOg==;107,56;PF;131;paga;17/09/2021
2021-08;Jxzb78OlaZydIrDOvDQW9A==;107,56;PF;131;paga;11/09/2021
2021-08;mNgB0NscQJJZuLvEOOmk4g==;107,56;PF;131;paga;22/09/2021
2021-08;XrV4zZJ1ojOnBIqztAUQBQ==;107,56;PF;131;paga;06/09/2021
